replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
a67c9077-a968-49a5-894b-673c6b1a66d7;PPS vs SSG -4-2020-08-24.00.19;Utopia Coliseum (Dusk);2020-08-24 00:19:25;win;SPACESTATION;THE PEEPS;952;2;1;6;8;8;1;25;1179;161.78;6625;5021;1604;65;144;1527;953;574;11;48;89.62;171.15;981;1553;178;1469559;438.58;406.79;146.76;596.04;346.82;49.27;25.74;222;237.3;754.83;237.3;594.69;397.42;420.91;336.29;234.91;4;2
0f305410-649a-4620-a72a-f5fac25ce743;NRG vs SSG -1-2020-08-24.01.05;DFH Stadium;2020-08-24 01:05:56;loss;NRG;SPACESTATION;931;0;0;9;6;15;2;0;1093;144.09;5715;3607;2108;44;173;914;455;459;5;34;102.51;79.21;638;815;51;1413794;441.11;373.43;151.47;528.68;388.22;49.1;20.53;218;347.55;618.43;347.55;669.51;296.48;526.85;265.15;173.99;2;4
0f305410-649a-4620-a72a-f5fac25ce743;NRG vs SSG -1-2020-08-24.01.05;DFH Stadium;2020-08-24 01:05:56;win;SPACESTATION;NRG;1040;2;1;6;15;6;0;13.33;1267;155.32;6918;4715;2203;62;181;1965;1130;835;14;65;125.59;129.19;1040;1555;281;1472806;425.96;396.82;153.16;555.41;352.57;67.95;22.88;199;226.65;749.27;226.65;566.06;409.87;381.13;341.29;253.51;4;2
19e98e05-f388-41db-806a-d5ab69ec23a2;NV vs PK -1-2020-08-23.20.48;DFH Stadium;2020-08-23 20:48:14;win;TEAM ENVY;KNIGHTS;1847;5;4;7;7;8;1;71.43;1158;148.28;6923;4746;2177;58;180;1477;1004;473;12;42;106.07;123.13;627;1066;149;1419069;553.84;377.44;116.43;590.5;385.56;71.64;24.29;176;222.45;825.25;222.45;753.82;293.89;570.27;309.55;167.9;4;5
19e98e05-f388-41db-806a-d5ab69ec23a2;NV vs PK -1-2020-08-23.20.48;DFH Stadium;2020-08-23 20:48:14;loss;KNIGHTS;TEAM ENVY;734;1;1;2;8;7;5;12.5;1123;151.51;6595;4214;2381;53;219;1443;796;647;9;59;84.71;144.27;847;1169;110;1507101;507.88;372.98;170.86;614.58;382.52;54.61;19.27;205;282.95;768.76;282.95;686.83;364.89;495.27;360.77;195.65;5;4
22446740-fba2-47e2-b66d-0e230919b22b;PPS vs SSG -3-2020-08-24.00.11;Neo Tokyo (Standard);2020-08-24 00:11:47;win;THE PEEPS;SPACESTATION;1089;3;3;3;9;3;0;33.33;1303;140.48;7272;5103;2169;62;173;1236;593;643;8;53;146.26;105.01;922;1103;204;1502717;439.05;424.69;152.76;599.81;351.99;64.7;27.99;256;228.67;787.82;228.67;680.96;335.53;480.71;349.79;185.99;4;1
22446740-fba2-47e2-b66d-0e230919b22b;PPS vs SSG -3-2020-08-24.00.11;Neo Tokyo (Standard);2020-08-24 00:11:47;loss;SPACESTATION;THE PEEPS;779;0;0;5;3;9;3;0;1175;153.22;6377;4645;1732;57;154;874;366;508;5;44;108.51;141.03;1076;1066;85;1469452;458.69;393.6;155.06;562.47;391.58;53.3;23.33;202;267.66;739.69;267.66;697.03;310.32;530.12;299.99;177.24;1;4
e6b4e291-9ca7-4377-8dec-0eccbd96c6d1;PPS vs SSG -7-2020-08-24.00.41;Champions Field;2020-08-24 00:41:30;loss;THE PEEPS;SPACESTATION;661;0;0;5;3;7;1;0;1177;143.69;6170;4197;1973;52;152;1374;980;394;11;28;125.35;80.27;742;1015;117;1326913;478.8;347.69;115.74;577.84;325.49;38.9;26.09;230;244.89;697.33;244.89;687.95;254.28;539.29;284.73;118.2;4;2
e6b4e291-9ca7-4377-8dec-0eccbd96c6d1;PPS vs SSG -7-2020-08-24.00.41;Champions Field;2020-08-24 00:41:30;win;SPACESTATION;THE PEEPS;737;1;1;3;7;3;0;14.29;1275;153.68;6559;4375;2184;55;176;1446;702;744;10;59;118.37;122.9;1187;1188;298;1419545;412.14;375.57;148.3;569.93;314.56;51.52;24.68;212;230.22;705.79;230.22;537.52;398.49;354.13;356.95;224.95;2;4
b66eecd9-9e10-44c7-9bec-e72811c45d1b;SQ vs SSG -3-2020-08-23.22.54;Utopia Coliseum (Dusk);2020-08-23 22:54:50;loss;SONIQS;SPACESTATION;897;1;1;5;5;8;2;20;1033;149.98;6220;4145;2075;51;185;1639;1033;606;13;54;103.48;89.35;628;1012;274;1546169;571.19;421.83;106.51;631.47;402.2;65.86;27.59;241;308.88;790.64;308.88;699.25;400.28;498.93;381.51;219.08;3;4
